;RESULTADOS NUMÉRICOS DE VITÓRIAS;;;;;;;;;;;;;;;RESULTADOS NUMÉRICOS DE DERROTAS;;;;;;;;;;;;;;;RESULTADOS NUMÉRICOS DE EMPATES;;;;;;;;;;;;;
;;A;2;3;4;5;6;7;8;9;10;J;Q;K;;;A;2;3;4;5;6;7;8;9;10;J;Q;K;;;A;2;3;4;5;6;7;8;9;10;J;Q;K
;4H;68;130;151;179;192;161;119;106;109;98;110;97;109;;4H;376;259;254;265;237;218;364;334;372;336;326;389;385;;4H;0;0;0;0;0;0;0;0;0;0;0;0;0
;5H;95;303;360;385;380;365;213;205;239;186;181;173;174;;5H;795;566;539;525;536;565;665;707;753;741;747;756;739;;5H;0;0;0;0;0;0;0;0;0;0;0;0;0
;6H;157;460;501;523;587;549;386;331;291;294;297;280;281;;6H;1163;869;773;793;767;829;1023;1075;1055;1065;1102;1056;1059;;6H;0;0;0;0;0;0;0;0;0;0;0;0;0
;7H;224;668;749;698;724;790;441;449;400;429;355;378;430;;7H;1598;1183;1041;1016;1049;998;1396;1394;1464;1449;1421;1374;1451;;7H;0;0;0;0;0;0;0;0;0;0;0;0;0
;8H;262;755;886;901;960;950;593;592;493;495;497;498;502;;8H;1992;1458;1367;1365;1326;1283;1694;1766;1814;1921;1785;1757;1787;;8H;0;0;0;0;0;0;0;0;0;0;0;0;0
;9H;321;1020;1015;1091;1155;1160;775;628;640;566;557;557;594;;9H;2358;1747;1665;1642;1634;1564;2038;2199;2120;2137;2156;2238;2196;;9H;0;0;0;0;0;0;0;0;0;0;0;0;0
;10H;365;1184;1178;1240;1303;1328;876;751;733;712;710;687;668;;10H;2802;2037;1891;1912;1872;1762;2436;2475;2493;2479;2561;2598;2512;;10H;0;0;0;0;0;0;0;0;0;0;0;0;0
;11H;413;1241;1360;1459;1545;1583;912;890;844;820;814;754;789;;11H;3238;2283;2254;2276;2109;2103;2595;2713;2757;2827;2968;2893;2935;;11H;0;0;0;0;0;0;0;0;0;0;0;0;0
;12H;813;2350;2518;2667;2909;2847;1682;1657;1523;1428;1392;1430;1447;;12H;6077;4291;4119;4262;4057;3981;5135;5088;5351;5297;5454;5350;5283;;12H;0;0;0;0;0;0;0;0;0;0;0;0;0
;13H;745;2269;2329;2524;2601;2685;1755;1518;1395;1354;1350;1375;1367;;13H;5587;4204;3897;3926;3686;3645;4834;4939;4854;4987;4997;4996;4984;;13H;0;0;0;0;0;0;0;0;0;0;0;0;0
;14H;704;2009;2281;2314;2478;2566;1547;1456;1320;1249;1270;1284;1315;;14H;5174;3741;3767;3527;3392;3402;4271;4515;4523;4611;4619;4579;4706;;14H;0;0;0;0;0;0;0;0;0;0;0;0;0
;15H;632;1921;2048;2288;2238;2392;1446;1362;1209;1151;1193;1131;1169;;15H;4831;3581;3470;3331;3082;3207;3963;4156;4152;4206;4297;4335;4295;;15H;0;0;0;0;0;0;0;0;0;0;0;0;0
;16H;558;1756;1885;2047;2085;2077;1327;1178;1197;1065;1055;1054;1093;;16H;4546;3243;3103;3030;2922;2815;3677;3854;3773;3961;3883;4011;3850;;16H;0;0;0;0;0;0;0;0;0;0;0;0;0
;17H;533;1657;1680;1780;1905;1935;1188;1120;1060;951;1006;1015;1044;;17H;3508;2274;2272;2114;2034;1918;1656;2886;2952;3000;3089;3091;2992;;17H;598;694;637;619;567;727;1654;565;502;497;511;489;534
;18H;1059;2037;2107;2188;2208;2316;2489;1478;1347;1373;1325;1316;1288;;18H;2708;1504;1528;1461;1358;1278;921;1067;2229;2355;2363;2414;2320;;18H;545;544;504;528;490;441;592;1436;477;466;464;457;419
;19H;1380;2278;2402;2388;2452;2462;2904;2651;1663;1605;1592;1632;1681;;19H;1763;879;854;839;792;771;576;518;631;1697;1696;1668;1688;;19H;481;541;444;459;449;376;266;445;1274;415;386;427;378
;20H;3749;5489;5552;5646;5623;5810;6194;6261;5877;3962;3937;3844;3822;;20H;2696;847;859;785;815;698;540;511;411;786;839;792;777;;20H;961;919;877;852;852;740;606;509;923;2364;2378;2363;2347
;12S;48;163;174;174;167;170;120;122;102;89;104;96;94;;12S;358;282;285;267;254;250;354;339;343;380;354;349;324;;12S;0;0;0;0;0;0;0;0;0;0;0;0;0
;13S;92;324;366;343;358;391;258;208;214;200;212;203;216;;13S;769;555;585;539;540;515;693;636;725;718;732;672;714;;13S;0;0;0;0;0;0;0;0;0;0;0;0;0
;14S;91;330;375;355;403;388;243;215;210;196;188;201;183;;14S;759;612;539;576;532;526;677;704;748;717;749;770;741;;14S;0;0;0;0;0;0;0;0;0;0;0;0;0
;15S;104;325;329;371;374;423;275;215;231;195;195;178;204;;15S;761;588;619;522;534;560;665;696;710;701;713;749;735;;15S;0;0;0;0;0;0;0;0;0;0;0;0;0
;16S;109;298;346;369;360;417;226;207;202;206;214;184;195;;16S;809;586;607;534;488;557;716;708;720;714;723;741;751;;16S;0;0;0;0;0;0;0;0;0;0;0;0;0
;17S;107;332;360;376;377;375;243;231;212;189;199;208;186;;17S;694;444;446;417;407;350;302;568;545;616;598;598;617;;17S;126;135;100;106;104;124;373;106;118;108;103;103;107
;18S;212;433;454;454;491;544;526;351;314;302;315;306;295;;18S;533;360;358;316;308;308;196;273;470;482;521;497;509;;18S;123;126;99;120;123;99;121;313;109;116;105;97;109
;19S;355;565;603;575;600;671;718;632;413;394;400;431;423;;19S;476;218;218;208;211;195;128;144;161;432;398;389;392;;19S;113;133;119;115;100;105;58;115;318;91;105;100;118
;20S;477;666;709;722;732;702;784;786;734;477;515;507;531;;20S;301;107;103;115;109;101;61;77;49;106;118;97;109;;20S;116;99;122;110;112;102;79;78;113;317;320;327;330
;21S;2476;3668;3717;3609;3579;3680;3709;3761;3748;3391;3372;3398;3394;;21S;0;0;0;0;0;0;0;0;0;0;0;0;0;;21S;1076;0;0;0;0;0;0;0;0;238;264;276;243
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;RESULTADOS PERCENTUAIS DE VITÓRIAS;;;;;;;;;;;;;;;RESULTADOS PERCENTUAIS DE DERROTAS;;;;;;;;;;;;;;;RESULTADOS NUMÉRICOS DE EMPATES;;;;;;;;;;;;;
;;A;2;3;4;5;6;7;8;9;10;J;Q;K;;;A;2;3;4;5;6;7;8;9;10;J;Q;K;;;A;2;3;4;5;6;7;8;9;10;J;Q;K
;4H;15,32%;33,42%;37,28%;40,32%;44,76%;42,48%;24,64%;24,09%;22,66%;22,58%;25,23%;19,96%;22,06%;;4H;84,68%;66,58%;62,72%;59,68%;55,24%;57,52%;75,36%;75,91%;77,34%;77,42%;74,77%;80,04%;77,94%;;4H;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
;5H;10,67%;34,87%;40,04%;42,31%;41,48%;39,25%;24,26%;22,48%;24,09%;20,06%;19,50%;18,62%;19,06%;;5H;89,33%;65,13%;59,96%;57,69%;58,52%;60,75%;75,74%;77,52%;75,91%;79,94%;80,50%;81,38%;80,94%;;5H;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
;6H;11,89%;34,61%;39,32%;39,74%;43,35%;39,84%;27,40%;23,54%;21,62%;21,63%;21,23%;20,96%;20,97%;;6H;88,11%;65,39%;60,68%;60,26%;56,65%;60,16%;72,60%;76,46%;78,38%;78,37%;78,77%;79,04%;79,03%;;6H;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
;7H;12,29%;36,09%;41,84%;40,72%;40,83%;44,18%;24,01%;24,36%;21,46%;22,84%;19,99%;21,58%;22,86%;;7H;87,71%;63,91%;58,16%;59,28%;59,17%;55,82%;75,99%;75,64%;78,54%;77,16%;80,01%;78,42%;77,14%;;7H;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
;8H;11,62%;34,12%;39,33%;39,76%;41,99%;42,54%;25,93%;25,11%;21,37%;20,49%;21,78%;22,08%;21,93%;;8H;88,38%;65,88%;60,67%;60,24%;58,01%;57,46%;74,07%;74,89%;78,63%;79,51%;78,22%;77,92%;78,07%;;8H;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
;9H;11,98%;36,86%;37,87%;39,92%;41,41%;42,58%;27,55%;22,21%;23,19%;20,94%;20,53%;19,93%;21,29%;;9H;88,02%;63,14%;62,13%;60,08%;58,59%;57,42%;72,45%;77,79%;76,81%;79,06%;79,47%;80,07%;78,71%;;9H;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
;10H;11,53%;36,76%;38,38%;39,34%;41,04%;42,98%;26,45%;23,28%;22,72%;22,31%;21,71%;20,91%;21,01%;;10H;88,47%;63,24%;61,62%;60,66%;58,96%;57,02%;73,55%;76,72%;77,28%;77,69%;78,29%;79,09%;78,99%;;10H;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
;11H;11,31%;35,22%;37,63%;39,06%;42,28%;42,95%;26,01%;24,70%;23,44%;22,48%;21,52%;20,67%;21,19%;;11H;88,69%;64,78%;62,37%;60,94%;57,72%;57,05%;73,99%;75,30%;76,56%;77,52%;78,48%;79,33%;78,81%;;11H;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
;12H;11,80%;35,39%;37,94%;38,49%;41,76%;41,70%;24,67%;24,57%;22,16%;21,23%;20,33%;21,09%;21,50%;;12H;88,20%;64,61%;62,06%;61,51%;58,24%;58,30%;75,33%;75,43%;77,84%;78,77%;79,67%;78,91%;78,50%;;12H;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
;13H;11,77%;35,05%;37,41%;39,13%;41,37%;42,42%;26,64%;23,51%;22,32%;21,35%;21,27%;21,58%;21,52%;;13H;88,23%;64,95%;62,59%;60,87%;58,63%;57,58%;73,36%;76,49%;77,68%;78,65%;78,73%;78,42%;78,48%;;13H;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
;14H;11,98%;34,94%;37,71%;39,62%;42,21%;43,00%;26,59%;24,38%;22,59%;21,31%;21,57%;21,90%;21,84%;;14H;88,02%;65,06%;62,29%;60,38%;57,79%;57,00%;73,41%;75,62%;77,41%;78,69%;78,43%;78,10%;78,16%;;14H;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
;15H;11,57%;34,91%;37,11%;40,72%;42,07%;42,72%;26,73%;24,68%;22,55%;21,49%;21,73%;20,69%;21,39%;;15H;88,43%;65,09%;62,89%;59,28%;57,93%;57,28%;73,27%;75,32%;77,45%;78,51%;78,27%;79,31%;78,61%;;15H;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
;16H;10,93%;35,13%;37,79%;40,32%;41,64%;42,46%;26,52%;23,41%;24,08%;21,19%;21,36%;20,81%;22,11%;;16H;89,07%;64,87%;62,21%;59,68%;58,36%;57,54%;73,48%;76,59%;75,92%;78,81%;78,64%;79,19%;77,89%;;16H;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
;17H;11,49%;35,83%;36,61%;39,44%;42,28%;42,25%;26,41%;24,50%;23,48%;21,38%;21,84%;22,09%;22,84%;;17H;75,62%;49,17%;49,51%;46,84%;45,14%;41,88%;36,82%;63,14%;65,40%;67,45%;67,06%;67,27%;65,47%;;17H;12,89%;15,01%;13,88%;13,72%;12,58%;15,87%;36,77%;12,36%;11,12%;11,17%;11,09%;10,64%;11,68%
;18H;24,56%;49,87%;50,91%;52,38%;54,44%;57,40%;62,19%;37,13%;33,23%;32,74%;31,91%;31,43%;31,98%;;18H;62,80%;36,82%;36,92%;34,98%;33,48%;31,67%;23,01%;26,80%;55,00%;56,15%;56,91%;57,65%;57,61%;;18H;12,64%;13,32%;12,18%;12,64%;12,08%;10,93%;14,79%;36,07%;11,77%;11,11%;11,18%;10,91%;10,40%
;19H;38,08%;61,60%;64,92%;64,79%;66,40%;68,22%;77,52%;73,35%;46,61%;43,18%;43,33%;43,79%;44,86%;;19H;48,65%;23,77%;23,08%;22,76%;21,45%;21,36%;15,38%;14,33%;17,68%;45,66%;46,16%;44,75%;45,05%;;19H;13,27%;14,63%;12,00%;12,45%;12,16%;10,42%;7,10%;12,31%;35,71%;11,16%;10,51%;11,46%;10,09%
;20H;50,62%;75,66%;76,18%;77,52%;77,13%;80,16%;84,39%;85,99%;81,50%;55,71%;55,03%;54,92%;55,02%;;20H;36,40%;11,67%;11,79%;10,78%;11,18%;9,63%;7,36%;7,02%;5,70%;11,05%;11,73%;11,32%;11,19%;;20H;12,98%;12,67%;12,03%;11,70%;11,69%;10,21%;8,26%;6,99%;12,80%;33,24%;33,24%;33,76%;33,79%
;12S;11,82%;36,63%;37,91%;39,46%;39,67%;40,48%;25,32%;26,46%;22,92%;18,98%;22,71%;21,57%;22,49%;;12S;88,18%;63,37%;62,09%;60,54%;60,33%;59,52%;74,68%;73,54%;77,08%;81,02%;77,29%;78,43%;77,51%;;12S;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
;13S;10,69%;36,86%;38,49%;38,89%;39,87%;43,16%;27,13%;24,64%;22,79%;21,79%;22,46%;23,20%;23,23%;;13S;89,31%;63,14%;61,51%;61,11%;60,13%;56,84%;72,87%;75,36%;77,21%;78,21%;77,54%;76,80%;76,77%;;13S;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
;14S;10,71%;35,03%;41,03%;38,13%;43,10%;42,45%;26,41%;23,39%;21,92%;21,47%;20,06%;20,70%;19,81%;;14S;89,29%;64,97%;58,97%;61,87%;56,90%;57,55%;73,59%;76,61%;78,08%;78,53%;79,94%;79,30%;80,19%;;14S;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
;15S;12,02%;35,60%;34,70%;41,55%;41,19%;43,03%;29,26%;23,60%;24,55%;21,76%;21,48%;19,20%;21,73%;;15S;87,98%;64,40%;65,30%;58,45%;58,81%;56,97%;70,74%;76,40%;75,45%;78,24%;78,52%;80,80%;78,27%;;15S;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
;16S;11,87%;33,71%;36,31%;40,86%;42,45%;42,81%;23,99%;22,62%;21,91%;22,39%;22,84%;19,89%;20,61%;;16S;88,13%;66,29%;63,69%;59,14%;57,55%;57,19%;76,01%;77,38%;78,09%;77,61%;77,16%;80,11%;79,39%;;16S;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
;17S;11,54%;36,44%;39,74%;41,82%;42,45%;44,17%;26,47%;25,52%;24,23%;20,70%;22,11%;22,88%;20,44%;;17S;74,87%;48,74%;49,23%;46,38%;45,83%;41,22%;32,90%;62,76%;62,29%;67,47%;66,44%;65,79%;67,80%;;17S;13,59%;14,82%;11,04%;11,79%;11,71%;14,61%;40,63%;11,71%;13,49%;11,83%;11,44%;11,33%;11,76%
;18S;24,42%;47,12%;49,84%;51,01%;53,25%;57,20%;62,40%;37,46%;35,16%;33,56%;33,48%;34,00%;32,31%;;18S;61,41%;39,17%;39,30%;35,51%;33,41%;32,39%;23,25%;29,14%;52,63%;53,56%;55,37%;55,22%;55,75%;;18S;14,17%;13,71%;10,87%;13,48%;13,34%;10,41%;14,35%;33,40%;12,21%;12,89%;11,16%;10,78%;11,94%
;19S;37,61%;61,68%;64,15%;64,03%;65,86%;69,10%;79,42%;70,93%;46,30%;42,97%;44,30%;46,85%;45,34%;;19S;50,42%;23,80%;23,19%;23,16%;23,16%;20,08%;14,16%;16,16%;18,05%;47,11%;44,08%;42,28%;42,02%;;19S;11,97%;14,52%;12,66%;12,81%;10,98%;10,81%;6,42%;12,91%;35,65%;9,92%;11,63%;10,87%;12,65%
;20S;53,36%;76,38%;75,91%;76,24%;76,81%;77,57%;84,85%;83,53%;81,92%;53,00%;54,04%;54,46%;54,74%;;20S;33,67%;12,27%;11,03%;12,14%;11,44%;11,16%;6,60%;8,18%;5,47%;11,78%;12,38%;10,42%;11,24%;;20S;12,98%;11,35%;13,06%;11,62%;11,75%;11,27%;8,55%;8,29%;12,61%;35,22%;33,58%;35,12%;34,02%
;21S;69,71%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;93,44%;92,74%;92,49%;93,32%;;21S;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;;21S;30,29%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;6,56%;7,26%;7,51%;6,68%
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RESULTADOS PRINCIPAIS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vitórias;;;384877;38,49%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Derrotas;;;566849;56,68%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Empates;;;48274;4,83%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Busts do jogador;;;0;0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Blackjacks do jogador;;;47599;4,76%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Busts do dealer;;;268515;26,85%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Blackjacks do dealer;;;47232;4,72%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
